,COMUNAS,BARRIOS,LUGAR_DEL_HECHO,N_VICTIMAS,pos x,pos y
80,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AV FEDERICO LACROZE Y FRAGA,1,-58.45343236,-34.58435809
81,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,1,-58.38090932,-34.58927731
82,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,1,-58.37157668,-34.65429986
83,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AUTOPISTA PERITO MORENO Y BARRAGAN,1,-58.52280139,-34.63659934
84,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV ALBERDI Y CARHUE,1,-58.51232237,-34.6590353
85,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,1,-58.47461905,-34.57663634
86,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,1,-58.38268809,-34.62282019
87,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,1,-58.49603546,-34.64564271
88,14,PALERMO,SALGUERO 1410,1,-58.41848605,-34.59394733
89,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,ARIAS Y TRONADOR,1,-58.48935041,-34.54917673
90,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV 27 DE FEBRERO Y AV ESCALADA,1,-58.44451316,-34.68475866
